Abajo;Aynacha
Historia;Sarnaqata
Hombre;Chacha
Hombro;Kallachi
Hormiga;K’isimiri
Hoy;Jichhuru
Huérfano;Wajcha
Hueso;Ch’akha
Idioma;Aru
Idear;Amtaña
Idéntico;Kijpa
Idioma;Aru
Iluminado;Qhanaki
Imprevisto, sorpresa;Akatamata
Incendiar;Lakhantayaña
Inclinarse;Killpt’aña
Individual;Sapaqata
Indomable;Chukara
Infinito;Jani tukusiri
Informar;Yatiyaña
Infracción;Jucha
Inocente;Inurinti
Inquieto;Jalanqachu
Inteligente;Patxa p’iqini
Interactuar;Sarnaqaña
Interrogar;Chhikhixaña
Intestino;Jiphilla
Inútil;Inamaya
Ir;Saraña
Jefe;Jilaqata
Joven;Wayna
Juego;Anata
Jugador;Anatiri
Jugar;Anataña
Juguetón;Anatxara
Juntar;Apthapiña
Justo;Chiqpa
Ladrón;Lunthata
Lagarto;Jaririnkhu
Lago;Quta
Lana;T’arwa
Lavandera;T’axsiri
Leer;Ullaña
Lejos;Jaya
Lengua;Laxra, órgano del cuerpo humano
Lengua;Aru, referido al idioma
Leña;Lawa
Letra;Qillqa
Libro;Panka/ liwru
Límite;Qurpa
Limpiar;Pichaña
Locutor;Arusiri
Luna;Phaxsi
Llamar;Jawsaña
Llamo;Qarwa
Llevar;Apaña
Llorar;Jachaña
Llorón;Jachxara
Lluvia;Xallu
Macho;Urqu
Madeja;Juñi
Madre;Mama
Maíz;Tunqu
Mano;Ampara
Manta;Xawayu
Mariposa;Pilpintu
Más;Juk’ampi/nti
Matrimonio;Jaqichasiña
Matrona;Usuyiri
Medianoche;Chika arama
Medir;Tupuña
Mentir;K’arisiña
Mentiroso;K’arisiri
Mes;Phaxsi
Mitad;Chikata
Morir;Jiwaña
Mucho;Ancha
demasiado;Ancha
Muela del juicio;Aqu
Muela;K’ama
Muerto;Jiwata
Mujer;Warmi
Nacer;Yuriña
Naranjo;Xaruma
Nariz;Nasa
Negro;Ch’ara
Nervio;Anku
Nido;Tapa
Nieto;Allchhi
Nieve;Khunu
Niña;Imilla
Niño;Yuqalla
No;Jani
No es;Janiwa
Noche;Arama
Nombre;Suti
Nosotros;Jiwasa
Noticia;Arawi
Nube;Ch’iju
Nuca;Ati
Nudo;Chinu / muqu
Nuera;Yuxch’a
Nuevo;Machaxa
Obscuridad;Tuta
Obscuro;Ch’amaja
Obsequiar;Waxt’aña
Observar;Uñaqaña
Ocaso;Inti jalanta
Odiar;Uñisiña
Oeste;Inti jalanta
Oído;Jinchu
Ojo;Nayra
Ojota;Wiskhu
Ola;Aytinkhiri
Oler;Mukhiña
Olla;Phukhu
Ombligo;Kururu
Oreja;Jinchu
Orilla;Thiya
Orín;Yaq’a
Oro;Quri
Oscuro;Ch’amaja
Oscurecer;Ch’amakt’aña
Otra;Yaqha
Oveja;Uwija / iwija
Padre;Awki
Paja brava;Iruwichhu
Pájaro;Jamach’i
Palabras;Arusiñanaja
Paloma;Urpila
Pan;T’ant’a
Panadero;T’ant’a luriri
Pantalón;P’allqa
Pasto pequeño;Chhichha
Pastor;Awatiri
Pastorear;Awatiña
Pedir;Mayisiña
Pelo;Lak’uta/ ñak’uta
Pequeño;Jisk’a
Perder;Chhaqhaña
Perro;Anuqara
Petroglifo;Qillqata qala
Picaflor;Luli
Pícaro;Paxpuru
Pico;Suru
Pie;Kayu
Piedra;Qala
Pierna;Chara
Plata;Qulqi
Plomo;Uqi
Poco;Juk’a
Pollito;Chhiwchhi
Poncho;Punchu
Precordillera;Qhirwa
Preguntar;Chhikhiña
Preocupado;Amuyiri
Primogénito;Tayna
Profesor;Yatichiri
Pronunciar;Arsuña
Proveedor;Luqtiri
Proveer;Luqtaña
Puñado;Jich’i
¿Qué?;Kuna
Quebrada;Q’awa
Quebrar;Pakjaña
Quedar;Qhiparaña
Quejarse;Ayquña
Quemar;Lakhaña
Quena;Qina
Querer;Munaña
Querido;Munata
¿Quién?;Khisti
Quínoa;Juyra
Quipo;Kipu
Quirquincho;Khirkhinchu
Quitar;Aparaña
Quizás;Inasa
Rabo;Wich’inkha
Ramada;Chhujlla
Ratón;Achaku
Rayo;Illapa
Recíproca;Aynjasiri
Reciprocidad;Ayni
Reconocer;Uñt’aña / iñt’aña
Recopilar;Apthapiña
Reduplicaciones;Apxatanaka
Reflexionar;Amayttasiña
Regalo;Waxt’a
Regresar;Kutiña
Reír;Laruña
Relato;Aruskipaña
Relato;Jawari
Riñón;Mayruru
Río;Jawira
Robar;Lunthataña
Rodilla;Qunqura
Rojo;Wila
Ropa;Isi
Rosado;Janq’u wila
Sabio;Amawta / yatiri
Sacar;Apsuña
Sal;Jayu
Salir;Mistuña
Saltar;Thuqtaña
Saludar;Aruntaña
Sangre;Wila
Sapo;Jamp’atu
Seco;Waña
Seleccionar;Ajlliña
Semilla;Xatha
Señorita;Tawaxu
Serpiente;Amaru
Seso;Lixwi
Siembra;Sata/ch’aja
Silbar;Khuyuña
Sol;Inti/ Wilka
Solo;Sapa
Soltar;Chinuqaña
Sombra;Ch’iju
Sonido;Arsu
Soñar;Samkaña
Sopa;Lawita
Soplar;Phusaña
Suegra;Taykch’i
Sueño;Samka
Sufijante;Apxataña
Tacaño;Mich’i
Tarde;Jayp’u
Tartamudo;Khakha
Tejedora;Sawuri
Tejido;Sawuta
Temblar;Kharkhatiña
Terminar;Tukuña
Territorio;Uraxi
Teta;Ñuñu
Tieso;Tisi
Todo;Taqpacha
Tórtola;Kukuli
Tos;Ch’uxu
Trabalengua;Laxra chinu aru
Traer;Apaniña
Travieso;Chhujraru
Tripa;Jiphilla
Trueno;Arnaxa
Trueque;Alxakipasiña
Tú;Juma
Último;Qhipha
Un;Maya
una;Maya
Unido;Mayachasita
Unir;Mayachaña
Universo;Araqpacha
Uña;Sillu
Urgente;Jink’a
pronto;Jink’a
Usado;Thantha
Usurpar;Aparaña
quitar;Aparaña
Útero;Jakaña
Vaca;Waka
Valle;Qhirwa
Vender;Alxaña
Venir;Puriña
Ver;Uñjaña
Verde;Ch’uxña
Vertiente;Phuju
Vestirse;Ist’asiña
Viaje;Thakhi saraña
Vicuña;Wari
Vieja;Apachi (despectivo)
Viejo;Achachi (despectivo)
Viento;Thaya
Visitar;Phult’aña
Vivir;Qamaña
Vizcacha;Wisk’acha
Yareta;Llarita
Yerno;Tullqa
Yo;Naya
Zorrillo;Añathuya
Zorro;Lari/qamaqi
Zurdo;Ch’iqachu
